address,latitude,longitude,formatted_address
"Бургундия-Франш-Конте, Кот-д Ор, Округ Дижон, Без",47.467812,5.268422,"Франция, Бургундия-Франш-Конте, Кот-д'Ор, Округ Дижон, Без"
"Петропавловск, Центральная пл.",54.861891,69.139671,"Казахстан, Северо-Казахстанская область, Петропавловск, Центральная площадь"
"городской округ Воронеж, Железнодорожный район",51.698241,39.296542,"Россия, городской округ Воронеж, Железнодорожный район"
"Ульяновская обл., Ульяновск, Локомотивная ул., 33",54.277073,48.339801,"Россия, Ульяновск, Локомотивная улица, 33"
"Свердловская область, Екатеринбург, Сиреневый бульвар, 17",56.829699,60.683129,"Россия, Свердловская область, Екатеринбург, Сиреневый бульвар, 17"
"Москва, Красная площадь",55.753544,37.621202,"Россия, Москва, Красная площадь"
"Республика Коми, Воркута",67.493511,64.050176,"Россия, Республика Коми, Воркута"
"Челябинская обл., Челябинск, пр-т Ленина, 54",55.160813,61.402491,"Россия, Челябинск, проспект Ленина, 54"
"Москва, Семёновская площадь",55.782542,37.719747,"Россия, Москва, Семёновская площадь"
"посёлок городского типа Сириус, Олимпийский парк",43.39418,39.991829,"Россия, федеральная территория Сириус, Олимпийский парк"
"ул. Генерала Махмута Гареева, 5А",55.857771,48.908776,"Россия, Республика Татарстан (Татарстан), Казань, улица Генерала Махмута Гареева, 5А"
"Транспортная ул., 1-3",55.777798,37.865939,"Россия, Московская область, Реутов, Транспортная улица, 1/3"
"Москва, Восточный административный округ, район Метрогородок",55.823616,37.755841,"Россия, Москва, Восточный административный округ, район Метрогородок"
Тверь,56.858745,35.917421,"Россия, Тверь"
"Москва, район Капотня, 5-й квартал, 3",55.628703,37.795017,"Россия, Москва, район Капотня, 5-й квартал, 3"
"Ульяновск, Ульяновский проспект, 17",54.378418,48.574216,"Россия, Ульяновск, Ульяновский проспект, 17"
Центральный мкр-н,55.437163,37.765857,"Россия, Московская область, Домодедово, микрорайон Центральный"
"Тверь, Залинейный посёлок",56.839892,35.861402,"Россия, Тверь, Залинейный посёлок"
"Санкт-Петербург, Софийская ул., 46к2",59.870212,30.415339,"Россия, Санкт-Петербург, Софийская улица, 46к2"
"Калужская область, Жуковский район, сельское поселение Истье, садоводческое некоммерческое товарищество Энергия, 4-я линия",55.115033,36.718152,"Россия, Калужская область, Жуковский район, сельское поселение Истье, садоводческое некоммерческое товарищество Энергия, 4-я линия"
"Московская обл., Щёлково, ул. Неделина, 18",55.944042,37.977878,"Россия, Московская область, Щёлково, улица Неделина, 18"
"Новосибирск, Кировский район, Затулинский жилмассив",54.934407,82.916315,"Россия, Новосибирск, Кировский район, Затулинский жилмассив"
"Иркутская обл., Иркутск, ул. Жуковского",52.26854,104.254959,"Россия, Иркутск, улица Жуковского"
"Московская область, Люберцы, Звуковая улица",55.676641,37.893526,"Россия, Московская область, Люберцы, Звуковая улица"
"Республика Башкортостан, Белебей, улица Революционеров, 22, подъезд 4",54.10106,54.098047,"Россия, Республика Башкортостан, Белебей, улица Революционеров, 22, подъезд 4"
"Ставропольский край, Ставрополь, пл. Ленина",45.043253,41.968428,"Россия, Ставрополь, площадь Ленина"
"Новгородская обл., Великий Новгород, Псковская ул., 33",58.505611,31.231108,"Россия, Великий Новгород, Псковская улица, 33"
"Челябинская область, Озерск, улица Бажова, 12",55.767889,60.719034,"Россия, Челябинская область, Озерск, улица Бажова, 12"
"городской округ Краснодар, А-136, 11-й километр",45.140896,39.039561,"Россия, городской округ Краснодар, А-136, 11-й километр"
"Рязанский пр-т, 91к1",55.71591,37.804179,"Россия, Москва, Рязанский проспект, 91к1"
"Челябинская обл., Челябинск, ул. Хохрякова, 18",55.179822,61.486852,"Россия, Челябинск, улица Хохрякова, 18"
"Ленинградская обл., Всеволожский р-н, Заневское городское поселение, Кудрово, мкр-н Южное Кудрово",59.902957,30.514261,"Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, Кудрово, микрорайон Южное Кудрово"
"Санкт-Петербург, посёлок Парголово, территория Парнас",60.073113,30.350417,"Россия, Санкт-Петербург, посёлок Парголово, территория Парнас"
"Тюменский район, Онохинское муниципальное образование",56.89585,65.59756,"Россия, Тюменский район, Онохинское муниципальное образование"
"Краснодар, улица Западный Обход, 65А",45.10177,38.912844,"Россия, Краснодар, улица Западный Обход, 65А"
"Тюменский район, деревня Патрушева, улица Александра Пушкина",57.09313,65.511358,"Россия, Тюменский район, деревня Патрушева, улица Александра Пушкина"
"Архангельская обл., Архангельск, пр-т Ломоносова",64.533043,40.541759,"Россия, Архангельск, проспект Ломоносова"
"Москва, улица Хачатуряна",55.857993,37.595357,"Россия, Москва, улица Хачатуряна"
"Липецк, улица П А Папина, 31",52.591372,39.550379,"Россия, Липецк, улица П.А. Папина, 31"
"Московская область, Балашиха, улица Карла Маркса, 4, подъезд 1",55.799168,37.929997,"Россия, Московская область, Балашиха, улица Карла Маркса, 4, подъезд 1"
"Москва, проезд Воскресенские Ворота",55.755484,37.618237,"Россия, Москва, проезд Воскресенские Ворота"
"Республика Татарстан (Татарстан), Набережные Челны, посёлок ЗЯБ, ул. Комарова",55.695854,52.348838,"Россия, Республика Татарстан (Татарстан), Набережные Челны, посёлок ЗЯБ, улица Комарова"
"Забайкальский край, Чита, пл. Ленина",52.033497,113.500843,"Россия, Забайкальский край, Чита, площадь Ленина"
"Курская обл., Курск, Красная пл.",51.729814,36.192701,"Россия, Курск, Красная площадь"
